>>> Hostname is uaf-10.t2.ucsd.edu
inputs : /home/users/joytzphysics//ttdilep/output0.root

                                                                                                    
RooUtil:: Adding /home/users/joytzphysics//ttdilep/output0.root

                                                                                                    
RooUtil:: Start EventLooping

                                                                                                    
RooUtil:: System info:
uaf-10.t2.ucsd.edu
Linux uaf-10.t2.ucsd.edu 5.14.13-1.el7.elrepo.x86_64 #1 SMP Fri Oct 15 13:26:13 EDT 2021 x86_64 x86_64 x86_64 GNU/Linux
Fri Jul 29 18:55:29 PDT 2022
joytzphysics
/home/users/joytzphysics/NanoLooper

                                                                                                    
RooUtil::  _

                                                                                                    
RooUtil:: /\\

                                                                                                    
RooUtil:: \ \\  \__/ \__/

                                                                                                    
RooUtil::  \ \\ (oo) (oo)  Here we come!

                                                                                                    
RooUtil::   \_\\/~~\_/~~\_

                                                                                                    
RooUtil::  _.-~===========~-._

                                                                                                    
RooUtil:: (___________________)

                                                                                                    
RooUtil::       \_______/

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil::  Your friendly aliens

                                                                                                    
RooUtil::      Surf & Turf

                                                                                                    
RooUtil:: 

                                                                                                    
RooUtil:: Total Events in this Chain to process = 1675664

                                                                                                    
RooUtil:: TTreeCache enabled

                                                                                                    
RooUtil:: Looping /home/users/joytzphysics//ttdilep/output0.root/TTree:Events
RooUtil:: \|....................| 0.0 % (433/1675664) with  [146 Hz]   ETA 03:10:26         
RooUtil:: ||....................| 0.0 % (451/1675664) with  [152 Hz]   ETA 03:02:49         
RooUtil:: /|....................| 0.0 % (466/1675664) with  [157 Hz]   ETA 02:56:56         
RooUtil:: -|....................| 0.0 % (481/1675664) with  [162 Hz]   ETA 02:51:25         
RooUtil:: \|....................| 0.0 % (496/1675664) with  [167 Hz]   ETA 02:46:14         
RooUtil:: ||....................| 0.0 % (511/1675664) with  [173 Hz]   ETA 02:41:21         
RooUtil:: /|....................| 0.0 % (526/1675664) with  [178 Hz]   ETA 02:36:45         
RooUtil:: -|....................| 0.0 % (541/1675664) with  [183 Hz]   ETA 02:32:24         
RooUtil:: \|....................| 0.0 % (556/1675664) with  [188 Hz]   ETA 02:28:18         
RooUtil:: ||....................| 0.0 % (571/1675664) with  [193 Hz]   ETA 02:24:24         
RooUtil:: /|....................| 0.0 % (586/1675664) with  [198 Hz]   ETA 02:20:42         
RooUtil:: -|....................| 0.0 % (601/1675664) with  [203 Hz]   ETA 02:17:12         
RooUtil:: \|....................| 0.0 % (616/1675664) with  [208 Hz]   ETA 02:13:52         
RooUtil:: ||....................| 0.0 % (631/1675664) with  [213 Hz]   ETA 02:10:41         
RooUtil:: /|....................| 0.0 % (646/1675664) with  [218 Hz]   ETA 02:07:39         
RooUtil:: -|....................| 0.0 % (661/1675664) with  [223 Hz]   ETA 02:04:46         
RooUtil:: \|....................| 0.0 % (676/1675664) with  [228 Hz]   ETA 02:02:00         
RooUtil:: ||....................| 0.0 % (691/1675664) with  [233 Hz]   ETA 01:59:21         
RooUtil:: /|....................| 0.0 % (706/1675664) with  [238 Hz]   ETA 01:56:49         
RooUtil:: -|....................| 0.0 % (721/1675664) with  [244 Hz]   ETA 01:54:23         
RooUtil:: \|....................| 0.0 % (736/1675664) with  [249 Hz]   ETA 01:52:04         
RooUtil:: ||....................| 0.0 % (751/1675664) with  [254 Hz]   ETA 01:49:50         
RooUtil:: /|....................| 0.0 % (766/1675664) with  [259 Hz]   ETA 01:47:41         
RooUtil:: -|....................| 0.0 % (781/1675664) with  [264 Hz]   ETA 01:45:37         
RooUtil:: \|....................| 0.0 % (796/1675664) with  [269 Hz]   ETA 01:43:38         
RooUtil:: ||....................| 0.0 % (811/1675664) with  [274 Hz]   ETA 01:41:43         
RooUtil:: /|....................| 0.0 % (826/1675664) with  [279 Hz]   ETA 01:39:53         
RooUtil:: -|....................| 0.1 % (841/1675664) with  [284 Hz]   ETA 01:38:06         
RooUtil:: \|....................| 0.1 % (856/1675664) with  [289 Hz]   ETA 01:36:23         
RooUtil:: ||....................| 0.1 % (871/1675664) with  [294 Hz]   ETA 01:34:44         
RooUtil:: /|....................| 0.1 % (886/1675664) with  [299 Hz]   ETA 01:33:08         
RooUtil:: -|....................| 0.1 % (901/1675664) with  [304 Hz]   ETA 01:31:35         
RooUtil:: \|....................| 0.1 % (916/1675664) with  [309 Hz]   ETA 01:30:05         
RooUtil:: ||....................| 0.1 % (931/1675664) with  [314 Hz]   ETA 01:28:38         
RooUtil:: /|....................| 0.1 % (946/1675664) with  [319 Hz]   ETA 01:27:14         
RooUtil:: -|....................| 0.1 % (961/1675664) with  [324 Hz]   ETA 01:25:53         
RooUtil:: \|....................| 0.1 % (976/1675664) with  [329 Hz]   ETA 01:24:36         
RooUtil:: ||....................| 0.1 % (991/1675664) with  [334 Hz]   ETA 01:23:19         
RooUtil:: /|....................| 0.1 % (1006/1675664) with  [339 Hz]   ETA 01:22:05         
RooUtil:: -|....................| 0.1 % (1021/1675664) with  [345 Hz]   ETA 01:20:53         
RooUtil:: \|....................| 0.1 % (1051/1675664) with  [355 Hz]   ETA 01:18:35         
RooUtil:: ||....................| 0.1 % (1081/1675664) with  [365 Hz]   ETA 01:16:24         
RooUtil:: /|....................| 0.1 % (1111/1675664) with  [375 Hz]   ETA 01:14:21         
RooUtil:: -|....................| 0.1 % (1141/1675664) with  [385 Hz]   ETA 01:12:24         
RooUtil:: \|....................| 0.1 % (1171/1675664) with  [395 Hz]   ETA 01:10:33         
RooUtil:: ||....................| 0.1 % (1201/1675664) with  [405 Hz]   ETA 01:08:48         
RooUtil:: /|....................| 0.1 % (1231/1675664) with  [415 Hz]   ETA 01:07:08         
RooUtil:: -|....................| 0.1 % (1261/1675664) with  [425 Hz]   ETA 01:05:32         
RooUtil:: \|....................| 0.1 % (1291/1675664) with  [435 Hz]   ETA 01:04:01         
RooUtil:: ||....................| 0.1 % (1321/1675664) with  [445 Hz]   ETA 01:02:35         
RooUtil:: /|....................| 0.1 % (1351/1675664) with  [455 Hz]   ETA 01:01:12         
RooUtil:: -|....................| 0.1 % (1381/1675664) with  [466 Hz]   ETA 00:59:52         
